,0,1,2,3,4,5,6
0,bu86bu48,1e-07,probzip,-488.51304197731525,-555.7801231846828,"[7.450595270669538, 7.276350941451639, 7.185207780909661, 7.1032560314913376, 7.254924305880285, 7.5901428207309065, 6.7129118502971545, 2.2433047658693286]","[7.450595270669541, 7.276350941451642, 7.185207780909658, 7.103256031491337, 7.254924305880289, 7.59014282073091, 6.712911850297152, 2.2433047658693286]"
1,bu86bu48,1e-06,probzip,-511.81640684051683,-584.8103242583642,"[7.450595270669538, 7.276350941451639, 7.185207780909661, 7.1032560314913376, 7.254924305880285, 7.5901428207309065, 6.7129118502971545, 2.2433047658693286]","[7.450595270669541, 7.276350941451642, 7.185207780909658, 7.103256031491337, 7.254924305880289, 7.59014282073091, 6.712911850297152, 2.2433047658693286]"
2,bu86bu48,1e-05,probzip,-503.55850160359216,-585.5439222056376,"[7.450595270669538, 7.276350941451639, 7.185207780909661, 7.1032560314913376, 7.254924305880285, 7.5901428207309065, 6.7129118502971545, 2.2433047658693286]","[7.450595270669541, 7.276350941451642, 7.185207780909658, 7.103256031491337, 7.254924305880289, 7.59014282073091, 6.712911850297152, 2.2433047658693286]"
3,bu86bu48,0.0001,probzip,-534.3916647703342,-609.8576349042105,"[7.450595270669538, 7.276350941451639, 7.185207780909661, 7.1032560314913376, 7.254924305880285, 7.5901428207309065, 6.7129118502971545, 2.2433047658693286]","[7.450595270669541, 7.276350941451642, 7.185207780909658, 7.103256031491337, 7.254924305880289, 7.59014282073091, 6.712911850297152, 2.2433047658693286]"
4,bu86bu48,0.001,probzip,-445.9092740459575,-496.6639377250592,"[7.450595270669538, 7.276350941451639, 7.185207780909661, 7.1032560314913376, 7.254924305880285, 7.5901428207309065, 6.7129118502971545, 2.2433047658693286]","[7.450595270669541, 7.276350941451642, 7.185207780909658, 7.103256031491337, 7.254924305880289, 7.59014282073091, 6.712911850297152, 2.2433047658693286]"
5,bu86bu48,0.01,probzip,-423.2489012349381,-470.45259467260286,"[7.450595270669538, 7.276350941451639, 7.185207780909661, 7.1032560314913376, 7.254924305880285, 7.5901428207309065, 6.7129118502971545, 2.2433047658693286]","[7.450595270669541, 7.276350941451642, 7.185207780909658, 7.103256031491337, 7.254924305880289, 7.59014282073091, 6.712911850297152, 2.2433047658693286]"
6,bu86bu48,0.1,probzip,-513.9858738253201,-530.8954980438716,"[7.450595270669538, 7.276350941451639, 7.185207780909661, 7.1032560314913376, 7.254924305880285, 7.5901428207309065, 6.7129118502971545, 2.2433047658693286]","[7.450595270669541, 7.276350941451642, 7.185207780909658, 7.103256031491337, 7.254924305880289, 7.59014282073091, 6.712911850297152, 2.2433047658693286]"
7,bu86bu48,1.0,probzip,-905.7082375351795,-922.9165582776092,"[7.450595270669538, 7.276350941451639, 7.185207780909661, 7.1032560314913376, 7.254924305880285, 7.5901428207309065, 6.7129118502971545, 2.2433047658693286]","[7.450595270669541, 7.276350941451642, 7.185207780909658, 7.103256031491337, 7.254924305880289, 7.59014282073091, 6.712911850297152, 2.2433047658693286]"
8,gr54bu78,1e-07,probzip,-448.1470934458418,-511.59548459562757,"[7.189359150661645, 7.283795338758994, 7.082124638506399, 7.271220475929892, 7.496466119104133, 7.790413518237669, 5.925400379889147, 1.5782163103446474]","[7.1893591506616445, 7.283795338758992, 7.082124638506399, 7.271220475929894, 7.496466119104133, 7.790413518237665, 5.925400379889147, 1.578216310344647]"
9,gr54bu78,1e-06,probzip,-444.9298251638755,-544.7384959022656,"[7.189359150661645, 7.283795338758994, 7.082124638506399, 7.271220475929892, 7.496466119104133, 7.790413518237669, 5.925400379889147, 1.5782163103446474]","[7.1893591506616445, 7.283795338758992, 7.082124638506399, 7.271220475929894, 7.496466119104133, 7.790413518237665, 5.925400379889147, 1.578216310344647]"
10,gr54bu78,1e-05,probzip,-470.50328069652926,-545.6712483802282,"[7.189359150661645, 7.283795338758994, 7.082124638506399, 7.271220475929892, 7.496466119104133, 7.790413518237669, 5.925400379889147, 1.5782163103446474]","[7.1893591506616445, 7.283795338758992, 7.082124638506399, 7.271220475929894, 7.496466119104133, 7.790413518237665, 5.925400379889147, 1.578216310344647]"
11,gr54bu78,0.0001,probzip,-489.7123376514371,-585.3870361310296,"[7.189359150661645, 7.283795338758994, 7.082124638506399, 7.271220475929892, 7.496466119104133, 7.790413518237669, 5.925400379889147, 1.5782163103446474]","[7.1893591506616445, 7.283795338758992, 7.082124638506399, 7.271220475929894, 7.496466119104133, 7.790413518237665, 5.925400379889147, 1.578216310344647]"
12,gr54bu78,0.001,probzip,-465.70356380986453,-538.784129023174,"[7.189359150661645, 7.283795338758994, 7.082124638506399, 7.271220475929892, 7.496466119104133, 7.790413518237669, 5.925400379889147, 1.5782163103446474]","[7.1893591506616445, 7.283795338758992, 7.082124638506399, 7.271220475929894, 7.496466119104133, 7.790413518237665, 5.925400379889147, 1.578216310344647]"
13,gr54bu78,0.01,probzip,-526.7372606125977,-598.0104319715584,"[7.189359150661645, 7.283795338758994, 7.082124638506399, 7.271220475929892, 7.496466119104133, 7.790413518237669, 5.925400379889147, 1.5782163103446474]","[7.1893591506616445, 7.283795338758992, 7.082124638506399, 7.271220475929894, 7.496466119104133, 7.790413518237665, 5.925400379889147, 1.578216310344647]"
14,gr54bu78,0.1,probzip,-574.5916593000995,-604.7386518668864,"[7.189359150661645, 7.283795338758994, 7.082124638506399, 7.271220475929892, 7.496466119104133, 7.790413518237669, 5.925400379889147, 1.5782163103446474]","[7.1893591506616445, 7.283795338758992, 7.082124638506399, 7.271220475929894, 7.496466119104133, 7.790413518237665, 5.925400379889147, 1.578216310344647]"
15,gr54bu78,1.0,probzip,-1163.5872013887263,-1152.5240611961567,"[7.189359150661645, 7.283795338758994, 7.082124638506399, 7.271220475929892, 7.496466119104133, 7.790413518237669, 5.925400379889147, 1.5782163103446474]","[7.1893591506616445, 7.283795338758992, 7.082124638506399, 7.271220475929894, 7.496466119104133, 7.790413518237665, 5.925400379889147, 1.578216310344647]"
16,gr57bu40,1e-07,probzip,-782.5785634107414,-931.7131047412557,"[7.773748647391314, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.233447700823392, 5.93030402287195, 1.5508842758936243]","[7.773748647391315, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.23344770082339, 5.93030402287195, 1.5508842758936243]"
17,gr57bu40,1e-06,probzip,-742.2224158643364,-907.8844739038727,"[7.773748647391314, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.233447700823392, 5.93030402287195, 1.5508842758936243]","[7.773748647391315, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.23344770082339, 5.93030402287195, 1.5508842758936243]"
