,0,1,2,3,4
0,bu86bu48,100.0,HCRP,-5058.225124951896,-1488.9249271146286
1,bu86bu48,1e-06,probzip,-431.06552946606035,-494.09334609500934
2,gr54bu78,100.0,HCRP,-9838.089642342491,-3320.5522464636747
3,gr54bu78,1e-05,probzip,-424.16930040802407,-504.90405414525037
4,gr57bu40,100.0,HCRP,-15002.561765355595,-4875.539831228419
5,gr57bu40,0.001,probzip,-769.3817367985621,-930.9629482143324
6,gr58bu60,100.0,HCRP,-7113.232431859149,-2237.3483577734833
7,gr58bu60,0.001,probzip,-518.258967961143,-617.7166339699793
8,rd82wh13,100.0,HCRP,-8947.918638902627,-3484.156418753857
9,rd82wh13,0.001,probzip,-405.65248846615617,-456.65274584283
10,rd49rd79,100.0,HCRP,-5480.36923604957,-1762.9711043152274
11,rd49rd79,0.001,probzip,-537.5360452732615,-597.7214972898737
12,wh08pk40,100.0,HCRP,-4752.615373175086,-1377.3776004404974
13,wh08pk40,0.001,probzip,-426.18889578745024,-483.8229562242588
14,wh09pk88,100.0,HCRP,-7425.6822749378625,-1971.6926107078598
15,wh09pk88,0.001,probzip,-612.709155985577,-718.2842519584981
